epoch,run,train_loss,val_accuracy
0,mlp-lr0.001-bs128,0.8059403281652467,0.888
1,mlp-lr0.001-bs128,0.34251647517547124,0.9115
2,mlp-lr0.001-bs128,0.2703285557130409,0.922
3,mlp-lr0.001-bs128,0.2279044771530272,0.929
4,mlp-lr0.001-bs128,0.19617428075919366,0.931
5,mlp-lr0.001-bs128,0.17056520609596754,0.935
6,mlp-lr0.001-bs128,0.1487259393851514,0.937
7,mlp-lr0.001-bs128,0.1300184667614693,0.941
8,mlp-lr0.001-bs128,0.11368010478447259,0.943
9,mlp-lr0.001-bs128,0.09928558308723463,0.9425
10,mlp-lr0.001-bs128,0.08648627039535617,0.942
11,mlp-lr0.001-bs128,0.07545934922078976,0.9425
12,mlp-lr0.001-bs128,0.065601533627105,0.9435
13,mlp-lr0.001-bs128,0.0571890846374586,0.943
14,mlp-lr0.001-bs128,0.04983382453250403,0.9455
15,mlp-lr0.001-bs128,0.043492399881910566,0.945
16,mlp-lr0.001-bs128,0.03773291912269244,0.9465
17,mlp-lr0.001-bs128,0.032782629961531404,0.947
18,mlp-lr0.001-bs128,0.028437073269568305,0.9485
19,mlp-lr0.001-bs128,0.02454655157344406,0.9475
0,mlp-lr0.001-bs32,0.5409762797375542,0.908
1,mlp-lr0.001-bs32,0.2570951019701257,0.9305
2,mlp-lr0.001-bs32,0.18968071950415313,0.9405
3,mlp-lr0.001-bs32,0.1448298496203061,0.943
4,mlp-lr0.001-bs32,0.1120983573759388,0.945
5,mlp-lr0.001-bs32,0.08733768118077477,0.9445
6,mlp-lr0.001-bs32,0.06783277384886044,0.9475
7,mlp-lr0.001-bs32,0.05233504000120129,0.947
8,mlp-lr0.001-bs32,0.03967270165957559,0.9485
9,mlp-lr0.001-bs32,0.030286184997065323,0.9485
10,mlp-lr0.001-bs32,0.023507737281389808,0.9505
11,mlp-lr0.001-bs32,0.018254250185967217,0.9485
12,mlp-lr0.001-bs32,0.016080728632887294,0.9485
13,mlp-lr0.001-bs32,0.01490478556494781,0.9475
14,mlp-lr0.001-bs32,0.01261872442643129,0.9445
15,mlp-lr0.001-bs32,0.012169056349548029,0.9465
16,mlp-lr0.001-bs32,0.011003196340753115,0.948
17,mlp-lr0.001-bs32,0.010805212914057893,0.9485
18,mlp-lr0.001-bs32,0.007603913023684143,0.95
19,mlp-lr0.001-bs32,0.010843279929042974,0.951
0,mlp-lr0.0001-bs128,1.9753901488983812,0.673
1,mlp-lr0.0001-bs128,1.2900150927773109,0.794
2,mlp-lr0.0001-bs128,0.8756761096953325,0.838
3,mlp-lr0.0001-bs128,0.6583630299009712,0.864
4,mlp-lr0.0001-bs128,0.5410139593422566,0.878
5,mlp-lr0.0001-bs128,0.471266418403723,0.8835
6,mlp-lr0.0001-bs128,0.42541866529442185,0.8895
7,mlp-lr0.0001-bs128,0.3927752458981654,0.891
8,mlp-lr0.0001-bs128,0.36787347592843933,0.895
9,mlp-lr0.0001-bs128,0.34797468323466463,0.8995
10,mlp-lr0.0001-bs128,0.33158784869822416,0.9035
11,mlp-lr0.0001-bs128,0.3176882587027378,0.9075
12,mlp-lr0.0001-bs128,0.3056680630983422,0.9095
13,mlp-lr0.0001-bs128,0.2950760222811441,0.9125
14,mlp-lr0.0001-bs128,0.2855813868587507,0.9145
15,mlp-lr0.0001-bs128,0.2769989514011688,0.916
16,mlp-lr0.0001-bs128,0.26915706495594266,0.9195
17,mlp-lr0.0001-bs128,0.261935827053476,0.9205
18,mlp-lr0.0001-bs128,0.2552502869805368,0.9215
19,mlp-lr0.0001-bs128,0.24901985961084516,0.9225
0,mlp-lr0.0001-bs32,1.4402186167517061,0.832
1,mlp-lr0.0001-bs32,0.6360567238668031,0.873
2,mlp-lr0.0001-bs32,0.4557448715744464,0.892
3,mlp-lr0.0001-bs32,0.38305837318577196,0.901
4,mlp-lr0.0001-bs32,0.3415429775150148,0.906
5,mlp-lr0.0001-bs32,0.31310135998963584,0.9135
6,mlp-lr0.0001-bs32,0.29157642464386535,0.9165
7,mlp-lr0.0001-bs32,0.2742102287094458,0.921
8,mlp-lr0.0001-bs32,0.2594239047505251,0.923
9,mlp-lr0.0001-bs32,0.24661142143178014,0.923
10,mlp-lr0.0001-bs32,0.23523689596250355,0.925
11,mlp-lr0.0001-bs32,0.22504337780119177,0.9265
12,mlp-lr0.0001-bs32,0.21578577026281656,0.929
13,mlp-lr0.0001-bs32,0.20724372096831353,0.9305
14,mlp-lr0.0001-bs32,0.19930099958388717,0.9305
15,mlp-lr0.0001-bs32,0.19189843298307424,0.933
16,mlp-lr0.0001-bs32,0.18492154944533154,0.9335
17,mlp-lr0.0001-bs32,0.17834699682030086,0.935
18,mlp-lr0.0001-bs32,0.17215788196500337,0.936
19,mlp-lr0.0001-bs32,0.1662871534628356,0.936
